Date/Temps|Matricule|MACHINE|E/S
2023-12-01 10:58:20|1|2|C/In
2023-12-01 13:30:15|1|4|OverTime I
2023-12-01 13:34:07|1|4|OverTime I
2023-12-01 21:09:09|1|4|OverTime I
2023-12-04 08:25:34|1|2|C/In
2023-12-04 08:31:20|1|4|OverTime I
2023-12-04 08:56:14|1|2|C/In
2023-12-04 13:47:24|1|4|OverTime I
2023-12-04 17:58:51|1|2|C/In
2023-12-04 20:35:57|1|4|OverTime I
2023-12-04 20:36:48|1|2|C/In
2023-12-04 20:51:51|1|4|OverTime I
2023-12-05 08:29:21|1|2|C/In
2023-12-05 08:34:07|1|4|OverTime I
2023-12-05 08:50:42|1|2|C/In
2023-12-05 14:03:06|1|4|OverTime I
2023-12-05 16:05:00|1|2|C/In
2023-12-05 17:06:09|1|4|OverTime I
2023-12-05 17:37:33|1|2|C/In
2023-12-05 19:16:48|1|4|OverTime I
2023-12-06 08:29:34|1|2|C/In
2023-12-06 08:35:21|1|4|OverTime I
2023-12-06 08:52:56|1|2|C/In
2023-12-06 13:31:02|1|4|OverTime I
2023-12-06 15:03:08|1|2|C/In
2023-12-06 15:27:05|1|4|OverTime I
2023-12-06 21:05:21|1|4|OverTime I
2023-12-07 08:41:54|1|2|C/In
2023-12-07 08:46:39|1|4|OverTime I
2023-12-07 09:29:14|1|2|C/In
2023-12-07 14:06:28|1|4|OverTime I
2023-12-07 15:57:45|1|2|C/In
2023-12-07 17:47:41|1|4|OverTime I
2023-12-07 18:36:17|1|2|C/In
2023-12-07 20:37:15|1|4|OverTime I
2023-12-08 08:43:33|1|2|C/In
2023-12-08 09:00:02|1|4|OverTime I
2023-12-08 09:18:54|1|2|C/In
2023-12-08 14:00:24|1|4|OverTime I
2023-12-08 15:23:36|1|2|C/In
2023-12-08 18:28:27|1|4|OverTime I
2023-12-08 18:59:55|1|2|OverTime O
2023-12-08 21:06:15|1|4|OverTime I
2023-12-11 08:17:09|1|2|OverTime O
2023-12-11 08:21:56|1|4|OverTime I
2023-12-11 08:53:55|1|2|OverTime O
2023-12-11 11:44:20|1|4|OverTime I
2023-12-11 18:50:15|1|2|OverTime O
2023-12-11 19:20:44|1|4|OverTime I
2023-12-12 10:17:28|1|2|OverTime O
2023-12-12 11:16:28|1|4|OverTime I
2023-12-12 11:38:18|1|2|OverTime O
2023-12-12 13:04:00|1|4|OverTime I
2023-12-12 14:25:41|1|2|OverTime O
2023-12-12 16:55:04|1|4|OverTime I
2023-12-12 17:19:47|1|2|OverTime O
2023-12-12 20:54:46|1|4|OverTime I
2023-12-13 08:56:37|1|2|OverTime O
2023-12-13 09:56:23|1|4|OverTime I
