Date/Temps|Matricule|MACHINE|E/S
2023-11-01 09:16:04|1|2|C/In
2023-11-01 09:29:19|1|4|C/Out
2023-11-01 09:53:07|1|2|C/In
2023-11-01 13:33:51|1|4|C/Out
2023-11-01 15:22:25|1|2|C/In
2023-11-01 17:25:48|1|4|C/Out
2023-11-01 17:50:50|1|2|C/In
2023-11-01 18:14:10|1|4|C/Out
2023-11-01 18:14:16|1|4|C/Out
2023-11-01 18:14:23|1|4|C/Out
2023-11-01 18:18:36|1|2|C/In
2023-11-01 20:21:49|1|4|C/Out
2023-11-02 09:03:12|1|2|C/In
2023-11-02 09:17:49|1|4|C/Out
2023-11-02 10:10:43|1|2|C/In
2023-11-02 13:27:28|1|4|C/Out
2023-11-02 15:07:04|1|2|C/In
2023-11-02 17:16:38|1|4|C/Out
2023-11-02 18:00:41|1|2|C/In
2023-11-02 18:21:03|1|4|C/Out
2023-11-02 19:01:39|1|2|C/In
2023-11-02 19:28:43|1|4|C/Out
2023-11-03 06:49:08|1|2|C/In
2023-11-03 07:20:24|1|4|C/Out
2023-11-03 07:49:46|1|2|C/In
2023-11-03 09:10:18|1|4|C/Out
2023-11-03 09:33:09|1|2|C/In
2023-11-03 13:07:11|1|4|C/Out
2023-11-03 17:29:54|1|2|C/In
2023-11-03 17:41:52|1|4|C/Out
2023-11-03 18:21:53|1|2|C/In
2023-11-03 19:27:47|1|4|C/Out
2023-11-03 19:40:57|1|2|C/In
2023-11-03 21:04:51|1|4|C/Out
2023-11-03 21:04:57|1|2|C/In
2023-11-04 12:49:49|1|4|C/Out
2023-11-04 17:11:09|1|4|C/Out
2023-11-04 18:02:50|1|2|C/In
2023-11-04 18:11:02|1|4|C/Out
2023-11-04 18:13:36|1|2|C/In
2023-11-06 08:50:53|1|2|C/In
2023-11-06 14:36:45|1|4|C/Out
2023-11-06 15:41:09|1|2|C/In
2023-11-06 18:44:28|1|4|C/Out
2023-11-06 19:31:12|1|2|C/In
2023-11-06 19:46:28|1|4|C/Out
2023-11-07 08:37:37|1|2|C/In
2023-11-07 09:30:17|1|4|C/Out
2023-11-07 09:46:21|1|2|C/In
2023-11-07 09:47:34|1|4|C/Out
2023-11-07 09:50:41|1|2|C/In
2023-11-07 11:17:23|1|4|C/Out
2023-11-07 14:51:42|1|2|C/In
2023-11-07 14:55:58|1|4|C/Out
2023-11-07 14:57:14|1|2|C/In
2023-11-07 17:19:37|1|4|C/Out
2023-11-07 19:36:39|1|4|C/Out
2023-11-08 08:31:46|1|2|C/In
2023-11-08 08:36:53|1|4|C/Out
2023-11-08 09:41:16|1|2|C/In
2023-11-08 13:54:33|1|4|C/Out
2023-11-08 17:06:16|1|2|C/In
2023-11-08 17:59:50|1|4|C/Out
2023-11-08 18:16:10|1|2|C/In
2023-11-08 18:33:45|1|4|C/Out
2023-11-09 08:32:21|1|2|C/In
2023-11-09 08:32:39|1|4|C/Out
2023-11-09 08:34:46|1|2|C/In
2023-11-09 13:26:01|1|4|C/Out
2023-11-09 14:52:14|1|2|C/In
2023-11-09 16:41:21|1|4|C/Out
2023-11-09 17:06:53|1|2|C/In
2023-11-09 19:35:49|1|4|C/Out
2023-11-09 19:37:25|1|2|C/In
2023-11-09 19:38:38|1|4|C/Out
2023-11-13 08:29:46|1|2|C/In
2023-11-13 08:29:54|1|2|C/In
2023-11-13 08:34:06|1|4|C/Out
2023-11-13 08:35:11|1|2|C/In
2023-11-13 08:35:42|1|4|C/Out
2023-11-13 09:03:15|1|2|C/In
2023-11-13 13:50:18|1|4|C/Out
2023-11-13 15:32:31|1|2|C/In
2023-11-13 16:22:29|1|4|C/Out
2023-11-13 16:46:45|1|2|C/In
2023-11-13 20:07:32|1|4|C/Out
2023-11-14 08:52:49|1|2|C/In
2023-11-14 09:18:00|1|4|C/Out
2023-11-14 09:33:45|1|2|C/In
2023-11-14 12:45:51|1|4|C/Out
2023-11-14 12:48:22|1|2|C/In
2023-11-14 14:22:04|1|4|C/Out
2023-11-14 15:54:29|1|2|C/In
2023-11-14 17:34:06|1|4|C/Out
2023-11-14 18:01:09|1|2|C/In
2023-11-14 18:04:09|1|4|C/Out
2023-11-14 18:07:04|1|2|C/In
2023-11-14 20:44:53|1|4|C/Out
2023-11-15 08:33:26|1|2|C/In
2023-11-15 08:38:52|1|4|C/Out
2023-11-15 09:04:53|1|2|C/In
2023-11-15 13:54:04|1|4|C/Out
2023-11-15 16:05:13|1|2|C/In
2023-11-15 16:57:36|1|4|C/Out
2023-11-15 17:44:33|1|2|C/In
2023-11-15 20:46:31|1|4|OverTime I
2023-11-15 20:46:39|1|4|OverTime I
2023-11-15 20:50:53|1|2|C/In
2023-11-15 21:03:03|1|4|OverTime I
2023-11-16 10:34:30|1|2|C/In
2023-11-16 10:35:40|1|2|C/In
2023-11-16 13:00:17|1|4|OverTime I
2023-11-16 14:38:09|1|2|C/In
2023-11-16 16:03:53|1|4|OverTime I
2023-11-16 16:44:01|1|2|C/In
2023-11-16 18:07:47|1|4|OverTime I
2023-11-16 18:15:14|1|2|C/In
2023-11-16 20:46:17|1|4|OverTime I
2023-11-17 08:28:34|1|2|C/In
2023-11-17 08:32:21|1|4|OverTime I
2023-11-17 09:06:40|1|2|C/In
2023-11-17 11:25:00|1|4|OverTime I
2023-11-17 11:29:18|1|2|C/In
2023-11-17 11:29:24|1|2|C/In
2023-11-17 13:23:46|1|4|OverTime I
2023-11-17 15:47:54|1|2|C/In
2023-11-17 18:32:48|1|4|OverTime I
2023-11-17 19:07:42|1|2|C/In
2023-11-17 21:13:29|1|4|OverTime I
2023-11-20 08:28:12|1|2|C/In
2023-11-20 08:33:17|1|4|OverTime I
2023-11-20 08:59:18|1|2|C/In
2023-11-20 13:09:51|1|4|OverTime I
2023-11-20 15:00:44|1|2|C/In
2023-11-20 15:45:39|1|4|OverTime I
2023-11-20 15:46:32|1|2|C/In
2023-11-20 16:32:10|1|4|OverTime I
2023-11-20 17:09:00|1|2|C/In
2023-11-20 20:02:49|1|4|OverTime I
2023-11-21 08:48:25|1|2|C/In
2023-11-21 08:56:29|1|4|OverTime I
2023-11-21 09:44:02|1|2|C/In
2023-11-21 12:56:11|1|4|OverTime I
2023-11-21 16:39:09|1|2|C/In
2023-11-21 19:27:41|1|4|OverTime I
2023-11-21 19:28:41|1|2|C/In
2023-11-21 19:38:25|1|4|OverTime I
2023-11-22 08:55:56|1|2|C/In
2023-11-22 12:54:15|1|4|OverTime I
2023-11-22 15:55:57|1|2|C/In
2023-11-22 16:11:22|1|4|OverTime I
2023-11-22 16:42:20|1|2|C/In
2023-11-22 17:46:22|1|4|OverTime I
2023-11-23 08:29:40|1|2|C/In
2023-11-23 08:58:27|1|4|OverTime I
2023-11-23 09:15:41|1|2|C/In
2023-11-23 14:39:51|1|4|OverTime I
2023-11-23 16:10:13|1|2|C/In
2023-11-23 17:55:46|1|4|OverTime I
2023-11-23 18:21:38|1|2|C/In
2023-11-23 19:34:08|1|4|OverTime I
2023-11-24 08:28:02|1|2|C/In
2023-11-24 08:35:05|1|4|OverTime I
2023-11-24 08:54:11|1|2|C/In
2023-11-24 13:44:33|1|4|OverTime I
2023-11-24 15:23:24|1|2|C/In
2023-11-24 16:35:21|1|4|OverTime I
2023-11-24 17:14:44|1|2|C/In
2023-11-24 20:36:33|1|4|OverTime I
2023-11-27 08:33:40|1|2|C/In
2023-11-27 09:24:36|1|4|OverTime I
2023-11-27 09:41:26|1|2|C/In
2023-11-27 12:04:26|1|4|OverTime I
2023-11-27 12:15:27|1|2|C/In
2023-11-27 12:16:57|1|4|OverTime I
2023-11-27 12:17:56|1|2|C/In
2023-11-27 12:59:45|1|4|OverTime I
2023-11-27 17:41:32|1|2|C/In
2023-11-27 17:56:32|1|4|OverTime I
2023-11-27 18:25:30|1|2|C/In
2023-11-27 19:35:08|1|4|OverTime I
2023-11-28 08:30:53|1|2|C/In
2023-11-28 08:35:32|1|4|OverTime I
2023-11-28 08:49:42|1|2|C/In
2023-11-28 12:59:08|1|4|OverTime I
2023-11-28 15:38:59|1|2|C/In
2023-11-28 17:44:08|1|2|C/In
2023-11-28 19:50:18|1|4|OverTime I
2023-11-29 08:40:03|1|2|C/In
2023-11-29 08:46:06|1|4|OverTime I
2023-11-29 09:09:34|1|2|C/In
2023-11-29 14:19:34|1|4|OverTime I
2023-11-29 15:05:26|1|2|C/In
2023-11-29 17:52:57|1|4|OverTime I
2023-11-29 18:34:36|1|2|C/In
2023-11-29 19:19:39|1|4|OverTime I
2023-11-30 08:39:58|1|2|C/In
2023-11-30 09:17:27|1|4|OverTime I
2023-11-30 10:18:38|1|2|C/In
2023-11-30 13:27:56|1|4|OverTime I
2023-11-30 18:49:41|1|2|C/In
2023-11-30 19:27:30|1|4|OverTime I
2023-11-30 19:44:32|1|2|C/In
2023-11-30 21:48:49|1|4|OverTime I
2023-11-01 08:36:52|2|2|C/In
2023-11-01 09:29:22|2|4|C/Out
2023-11-01 09:53:11|2|2|C/In
2023-11-01 15:00:44|2|2|C/In
2023-11-01 17:25:40|2|4|C/Out
2023-11-01 17:50:52|2|2|C/In
2023-11-01 19:16:30|2|4|C/Out
2023-11-02 08:48:13|2|2|C/In
2023-11-02 09:17:55|2|4|C/Out
2023-11-02 10:10:38|2|2|C/In
2023-11-02 12:38:42|2|4|C/Out
2023-11-02 14:33:58|2|2|C/In
2023-11-02 18:20:58|2|4|C/Out
2023-11-02 19:01:43|2|2|C/In
2023-11-02 19:40:49|2|4|C/Out
2023-11-03 09:00:05|2|2|C/In
2023-11-03 09:10:15|2|4|C/Out
2023-11-03 09:33:13|2|2|C/In
2023-11-03 12:55:35|2|4|C/Out
2023-11-03 15:13:56|2|2|C/In
2023-11-03 17:41:37|2|4|C/Out
2023-11-03 18:21:57|2|2|C/In
2023-11-03 19:26:56|2|4|C/Out
2023-11-06 08:50:43|2|2|C/In
2023-11-06 12:10:31|2|4|C/Out
2023-11-06 14:25:52|2|2|C/In
2023-11-06 16:22:34|2|4|C/Out
2023-11-06 18:40:51|2|2|C/In
2023-11-06 18:46:57|2|4|C/Out
2023-11-06 19:31:15|2|2|C/In
2023-11-06 20:43:01|2|4|C/Out
2023-11-07 09:16:48|2|2|C/In
2023-11-07 09:30:12|2|4|C/Out
2023-11-07 09:50:45|2|2|C/In
2023-11-07 13:15:47|2|4|C/Out
2023-11-07 14:45:48|2|2|C/In
2023-11-07 17:19:39|2|4|C/Out
2023-11-07 17:45:15|2|2|C/In
2023-11-07 19:44:50|2|4|C/Out
2023-11-08 08:11:00|2|2|C/In
2023-11-08 08:36:56|2|4|C/Out
2023-11-08 08:59:44|2|2|C/In
2023-11-08 13:06:33|2|4|C/Out
2023-11-08 14:40:33|2|2|C/In
2023-11-08 17:59:42|2|4|C/Out
2023-11-08 18:16:14|2|2|C/In
2023-11-08 20:37:01|2|4|C/Out
2023-11-09 08:09:01|2|2|C/In
2023-11-09 08:32:25|2|2|C/In
2023-11-09 12:22:59|2|4|C/Out
2023-11-09 14:45:14|2|2|C/In
2023-11-09 16:41:18|2|4|C/Out
2023-11-09 17:06:57|2|2|C/In
