Date/Temps|Matricule|MACHINE|E/S
2023-10-02 08:26:02|1|2|C/In
2023-10-02 08:55:19|1|4|C/In
2023-10-02 09:26:45|1|2|C/In
2023-10-02 14:11:37|1|4|C/In
2023-10-02 16:30:05|1|2|C/In
2023-10-02 18:19:39|1|4|C/In
2023-10-02 18:47:07|1|2|C/In
2023-10-02 21:23:12|1|4|C/In
2023-10-03 08:48:17|1|2|C/In
2023-10-03 09:24:06|1|4|C/In
2023-10-03 09:39:20|1|2|C/In
2023-10-03 13:26:50|1|4|C/In
2023-10-03 15:16:35|1|2|C/In
2023-10-03 16:46:00|1|4|C/In
2023-10-03 17:15:14|1|2|C/In
2023-10-03 19:16:46|1|4|C/In
2023-10-04 09:47:04|1|2|C/In
2023-10-04 10:11:05|1|4|C/In
2023-10-04 10:27:10|1|2|C/In
2023-10-04 12:37:39|1|4|C/In
2023-10-04 16:38:31|1|2|C/In
2023-10-04 17:50:35|1|4|C/In
2023-10-05 08:32:13|1|2|C/In
2023-10-05 09:39:25|1|4|C/In
2023-10-05 09:53:22|1|2|C/In
2023-10-05 12:48:12|1|4|C/In
2023-10-05 16:37:23|1|2|C/In
2023-10-05 18:46:24|1|4|C/In
2023-10-05 19:02:16|1|2|C/In
2023-10-05 20:09:41|1|4|C/In
2023-10-06 08:18:38|1|2|C/In
2023-10-06 10:04:46|1|4|C/In
2023-10-06 10:23:10|1|2|C/In
2023-10-06 12:41:29|1|4|C/In
2023-10-06 14:14:54|1|2|C/In
2023-10-06 16:08:35|1|4|C/In
2023-10-06 20:29:30|1|2|C/In
2023-10-06 20:58:18|1|4|C/In
2023-10-06 20:58:28|1|4|C/In
2023-10-07 10:14:06|1|2|C/In
2023-10-07 10:28:08|1|4|C/In
2023-10-09 08:17:58|1|2|C/In
2023-10-09 08:33:02|1|4|C/In
2023-10-09 09:27:10|1|2|C/In
2023-10-09 12:52:07|1|4|C/In
2023-10-09 13:51:41|1|2|C/In
2023-10-09 15:53:22|1|4|C/In
2023-10-09 18:09:22|1|4|C/In
2023-10-09 18:20:38|1|2|C/In
2023-10-09 18:30:42|1|4|C/In
2023-10-10 08:26:02|1|2|C/In
2023-10-10 08:41:27|1|4|C/In
2023-10-10 08:56:33|1|2|C/In
2023-10-10 13:08:30|1|4|C/In
2023-10-10 14:15:52|1|2|C/In
2023-10-10 16:05:11|1|4|C/In
2023-10-10 16:21:55|1|2|C/In
2023-10-10 18:23:38|1|4|C/In
2023-10-11 08:15:44|1|2|C/In
2023-10-11 08:31:13|1|4|C/In
2023-10-11 08:45:17|1|2|C/In
